Manufacturer;Model Name;Screen Size;RAM; Storage;Operating System;Color
HP;250 G6;"15.6""";4GB;500GB;Windows;Синий
Asus;Zenbook UX410UA-GV027T;"14.0""";8GB;256GB;Windows;Желтый
Lenovo;IdeaPad 320-17IKB;"17.3""";6GB;128GB;Windows;Желтый
HP;250 G6;"15.6""";8GB;1TB;Windows;Черный
Lenovo;IdeaPad 320-15ISK;"15.6""";8GB;256GB;No OS;Голубой
HP;15-AY023na (N3710/8GB/2TB/W10);"15.6""";8GB;2TB;Windows;Желтый
Dell;Inspiron 5770;"17.3""";8GB;128GB;Windows;Желтый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;No OS;Голубой
Dell;Inspiron 5567;"15.6""";8GB;256GB;Windows;Красный
HP;Elitebook 1040;"14.0""";8GB;256GB;Windows;Красный
Asus;ZenBook Flip;"15.6""";12GB;512GB;Windows;Серебристый
Acer;Aspire 3;"15.6""";4GB;128GB;Windows;Синий
Asus;Rog Strix;"17.3""";16GB;256GB;Windows;Синий
Lenovo;IdeaPad 110-17ACL;"17.3""";4GB;128GB;Windows;Красный
Dell;Inspiron 5379;"13.3""";8GB;256GB;Windows;Серый
HP;15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10);"15.6""";4GB;256GB;Windows;Серый
Lenovo;Yoga 11e;"11.6""";4GB;128GB;Windows;Красный
Dell;Inspiron 3552;"15.6""";4GB;500GB;Windows;Серый
Asus;VivoBook E403NA;"14.0""";4GB;32GB;Windows;Красный
Acer;Aspire 7;"15.6""";8GB;1TB;Linux;Красный
HP;Omen 17-w212nv;"17.3""";8GB;128GB;Windows;Синий
Lenovo;V310-15ISK (i3-6006U/4GB/128GB/FHD/No;"15.6""";4GB;128GB;No OS;Серебристый
Asus;ROG Strix;"15.6""";8GB;128GB;Windows;Белый
Lenovo;IdeaPad 720S-14IKB;"14.0""";8GB;256GB;Windows;Серый
Asus;Zenbook Flip;"13.3""";16GB;512GB;Windows;Серебристый
Lenovo;Thinkpad X1;"14.0""";8GB;512GB;Windows;Желтый
Lenovo;Ideapad 510S-13IKB;"13.3""";4GB;128GB;Windows;Серый
Dell;Precision 3510;"15.6""";8GB;500GB;Windows;Черный
Dell;Precision 5520;"15.6""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad X1;"14.0""";16GB;512GB;Windows;Желтый
Asus;Rog GL753VD-GC042T;"17.3""";8GB;1TB;Windows;Желтый
Asus;Rog GL753VE-GC070T;"17.3""";16GB;256GB;Windows;Желтый
Acer;Aspire 5;"15.6""";12GB;1TB;Windows;Серебристый
MSI;Leopard GP72M;"17.3""";8GB;256GB;Windows;Голубой
Dell;Inspiron 5567;"15.6""";8GB;256GB;Linux;Красный
HP;15-BW004nv (A9-9420/4GB/256GB/Radeon;"15.6""";4GB;256GB;Windows;Серебристый
Lenovo;ThinkPad E580;"15.6""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad L470;"14.0""";8GB;256GB;Windows;Белый
Dell;Precision M5520;"15.6""";8GB;256GB;Windows;Черный
Lenovo;Thinkpad X1;"14.0""";16GB;1TB;Windows;Красный
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;1TB;Windows;Черный
Asus;FX753VD-GC461T (i7-7700HQ/16GB/1TB;"17.3""";16GB;256GB;Windows;Синий
Lenovo;ThinkPad E580;"15.6""";8GB;256GB;Windows;Голубой
Acer;Aspire 7;"15.6""";8GB;256GB;Linux;Серый
MSI;GE73VR 7RF;"17.3""";16GB;256GB;Windows;Голубой
Asus;Zenbook 3;"14.0""";8GB;512GB;Windows;Серый
Toshiba;Portege Z30-C-16P;"13.3""";16GB;512GB;Windows;Серый
Dell;Latitude 7480;"14.0""";8GB;512GB;Windows;Голубой
Lenovo;IdeaPad 320-15ISK;"15.6""";4GB;500GB;Windows;Красный
Lenovo;Lenovo IdeaPad;"11.6""";2GB;32GB;Windows;Синий
Lenovo;ThinkPad P51;"15.6""";8GB;512GB;Windows;Серый
Lenovo;Thinkpad T470p;"14.0""";8GB;512GB;Windows;Голубой
HP;15-BS028nv (i3-6006U/4GB/1TB/Radeon;"15.6""";4GB;1TB;Windows;Голубой
Acer;Aspire R7;"13.3""";8GB;256GB;Windows;Черный
Asus;ZenBook Flip;"13.3""";8GB;256GB;Windows;Серый
Dell;Inspiron 3567;"15.6""";4GB;256GB;Linux;Красный
Dell;Latitude 3380;"13.3""";4GB;128GB;Windows;Красный
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Серебристый
Dell;Inspiron 3567;"15.6""";8GB;1TB;Windows;Голубой
Lenovo;ThinkPad E480;"14.0""";8GB;256GB;Windows;Желтый
Lenovo;Yoga 720-15IKB;"15.6""";16GB;512GB;Windows;Синий
Chuwi;LapBook 12.3;"12.3""";6GB;64GB;Windows;Желтый
HP;ProBook 650;"15.6""";8GB;256GB;Windows;Белый
Asus;X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce;"15.6""";8GB;1TB;Linux;Серебристый
Dell;Alienware 17;"17.3""";16GB;256GB;Windows;Черный
Dell;Inspiron 7577;"15.6""";8GB;128GB;Windows;Черный
Dell;Inspiron 5570;"15.6""";8GB;256GB;Windows;Синий
Dell;Latitude 5480;"14.0""";8GB;256GB;Linux;Белый
HP;Omen 17-w207nv;"17.3""";12GB;256GB;Windows;Белый
Mediacom;FlexBook Edge;"11.6""";4GB;32GB;Windows;Белый
Samsung;Chromebook 3;"11.6""";4GB;16GB;Chrome OS;Голубой
Lenovo;Thinkpad 13;"13.3""";8GB;256GB;Windows;Красный
Lenovo;IdeaPad 320s-14IKB;"14.0""";4GB;128GB;Windows;Серебристый
Lenovo;Thinkpad T570;"15.6""";16GB;512GB;Windows;Черный
Lenovo;Thinkpad P51;"15.6""";16GB;512GB;Windows;Голубой
Asus;Rog Strix;"17.3""";8GB;256GB;Windows;Красный
HP;15-ra044nv (N3060/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Красный
Google;Pixelbook (Core;"12.3""";16GB;512GB;Chrome OS;Серый
Lenovo;ThinkPad T470s;"14.0""";24GB;512GB;Windows;Синий
Asus;VivoBook Max;"15.6""";4GB;256GB;Linux;Синий
Lenovo;IdeaPad 320-15AST;"17.3""";8GB;1TB;Windows;Голубой
Dell;Inspiron 5570;"15.6""";4GB;256GB;Windows;Желтый
Lenovo;ThinkPad X270;"12.5""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;128GB;Windows;Желтый
HP;Omen 15-AX205na;"15.6""";8GB;128GB;Windows;Желтый
Dell;Latitude 5480;"14.0""";8GB;256GB;Windows;Красный
Acer;Aspire ES1-572;"15.6""";4GB;500GB;Linux;Красный
Dell;Precision 3520;"15.6""";8GB;64GB;Windows;Серебристый
MSI;GV62 7RD-1686NL;"15.6""";8GB;256GB;Windows;Черный
Microsoft;Surface Laptop;"13.5""";16GB;512GB;Windows;Синий
HP;15-bs024nv (i5-7200U/8GB/128GB/W10);"15.6""";8GB;128GB;Windows;Белый
Dell;Precision 3520;"15.6""";16GB;256GB;Windows;Синий
HP;ProBook 650;"15.6""";8GB;512GB;Windows;Красный
Lenovo;ThinkPad T470;"14.0""";8GB;256GB;Windows;Желтый
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Синий
Dell;Inspiron 3168;"11.6""";4GB;500GB;Windows;Желтый
Dell;Alienware 17;"17.3""";8GB;1TB;Windows;Голубой
Microsoft;Surface Laptop;"13.5""";4GB;128GB;Windows;Красный
Microsoft;Surface Laptop;"13.5""";8GB;256GB;Windows;Серый
HP;17-BS092ND (i3-6006U/8GB/256GB/W10);"17.3""";8GB;256GB;Windows;Черный
Acer;Aspire E5-576G;"15.6""";4GB;1TB;Windows;Белый
Acer;TravelMate B;"11.6""";4GB;128GB;Windows;Серый
Asus;Pro P2540UA-AB51;"15.6""";8GB;1TB;Windows;Голубой
Lenovo;IdeaPad 510s-14IKB;"14.0""";8GB;512GB;No OS;Голубой
Lenovo;Thinkpad P51;"15.6""";8GB;256GB;Windows;Желтый
Asus;X541NA-PD1003Y (N4200/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Белый
Acer;Aspire 5;"15.6""";4GB;500GB;Windows;Синий
Dell;Inspiron 5570;"15.6""";8GB;2TB;Windows;Белый
HP;Omen 17-an006nv;"17.3""";12GB;1TB;Windows;Серый
Lenovo;Thinkpad T460s;"14.0""";12GB;256GB;Windows;Красный
HP;Spectre x360;"13.3""";8GB;512GB;Windows;Синий
HP;ZBook 15u;"15.6""";8GB;500GB;Windows;Синий
Google;Pixelbook (Core;"12.3""";8GB;128GB;Chrome OS;Красный
Dell;Latitude 7390;"13.3""";8GB;256GB;Windows;Белый
Asus;ZenBook Pro;"15.6""";12GB;128GB;Windows;Серый
Dell;Latitude E5470;"14.0""";8GB;128GB;Windows;Красный
Dell;Precision M5520;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;Thinkpad T470;"14.0""";8GB;1GB;Windows;Серый
Dell;Inspiron 3576;"15.6""";8GB;1TB;Windows;Желтый
Toshiba;Portege X30-D-10J;"13.3""";8GB;256GB;Windows;Серый
Dell;Inspiron 7570;"15.6""";8GB;512GB;Windows;Желтый
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Серебристый
HP;ProBook 430;"13.3""";4GB;128GB;Windows;Черный
Chuwi;Lapbook 15,6;"15.6""";4GB;64GB;Windows;Желтый
Lenovo;ThinkPad E570;"15.6""";4GB;128GB;Windows;Голубой
Lenovo;ThinkPad E480;"14.0""";8GB;256GB;Windows;Черный
Dell;Precision 3520;"15.6""";16GB;512GB;Windows;Желтый
Dell;XPS 15;"15.6""";16GB;512GB;Windows;Желтый
Lenovo;Thinkpad X270;"12.5""";16GB;512GB;Windows;Синий
Asus;Zenbook UX390UA;"12.5""";16GB;512GB;Windows;Голубой
Lenovo;Thinkpad E570;"15.6""";8GB;256GB;Windows;Серый
Toshiba;Portege X30-D-10L;"13.3""";32GB;512GB;Windows;Черный
Asus;VivoBook Pro;"15.6""";8GB;128GB;Windows;Серый
Acer;Aspire 5;"15.6""";8GB;1TB;Windows;Голубой
Asus;Rog G752VL-UH71T;"17.3""";24GB;256GB;Windows;Белый
Lenovo;Thinkpad X260;"12.5""";8GB;1GB;Windows;Черный
Lenovo;Ideapad 520-15IKBR;"15.6""";8GB;256GB;Windows;Серебристый
HP;EliteBook 840;"14.0""";8GB;1TB;Windows;Синий
Lenovo;ThinkPad 13;"13.3""";8GB;256GB;Windows;Красный
Lenovo;ThinkPad L570;"15.6""";8GB;256GB;Windows;Красный
Asus;VivoBook E201NA;"11.6""";4GB;64GB;Windows;Красный
HP;15-BS026nv (i5-7200U/8GB/256GB/Radeon;"15.6""";8GB;256GB;Windows;Желтый
Lenovo;Yoga 920-13IKB;"13.9""";8GB;256GB;Windows;Серебристый
Lenovo;IdeaPad 320-14IAP;"14.0""";4GB;500GB;Windows;Красный
Lenovo;Chromebook N23;"11.6""";4GB;16GB;Chrome OS;Синий
Lenovo;ThinkPad 13;"13.3""";8GB;256GB;Windows;Белый
Asus;ZenBook UX510UX-CN211T;"15.6""";8GB;256GB;Windows;Черный
Acer;Aspire A515-51G-59QF;"15.6""";4GB;1TB;Windows;Серебристый
HP;Envy 13-AB002nv;"13.3""";8GB;512GB;Windows;Серебристый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;256GB;No OS;Серый
Dell;XPS 13;"13.3""";8GB;128GB;Windows;Желтый
Acer;Aspire A515-51G;"15.6""";4GB;500GB;Windows;Серебристый
Dell;Vostro 5568;"15.6""";8GB;1TB;Windows;Черный
Dell;Inspiron 5570;"15.6""";16GB;256GB;Windows;Серебристый
Xiaomi;Mi Notebook;"15.6""";16GB;256GB;No OS;Белый
Asus;VivoBook E12;"11.6""";2GB;32GB;Windows;Желтый
HP;15-bs190od (i5-8250U/4GB/1TB/W10);"15.6""";4GB;1TB;Windows;Белый
Asus;ROG Zephyrus;"15.6""";24GB;512GB;Windows;Красный
HP;Probook 450;"15.6""";8GB;256GB;Windows;Белый
Asus;FX753VE-GC155T (i7-7700HQ/16GB/1TB;"17.3""";16GB;256GB;Windows;Синий
Lenovo;Legion Y720-15IKB;"15.6""";8GB;256GB;Windows;Красный
HP;Spectre X360;"13.3""";8GB;256GB;Windows;Белый
Dell;Latitude 5480;"14.0""";8GB;256GB;Windows;Серебристый
HP;ProBook 440;"15.6""";4GB;128GB;Windows;Красный
Dell;Inspiron 5770;"17.3""";8GB;128GB;Linux;Красный
Lenovo;ThinkPad L470;"14.0""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 320-15IKB;"15.6""";4GB;1TB;Windows;Серый
Lenovo;IdeaPad 320-15ISK;"15.6""";8GB;2TB;No OS;Красный
Dell;Inspiron 3567;"15.6""";4GB;500GB;Windows;Желтый
Dell;Latitude 5580;"15.6""";8GB;256GB;Windows;Серый
Dell;Alienware 17;"17.3""";16GB;128GB;Windows;Красный
Toshiba;Satellite Pro;"15.6""";8GB;500GB;Windows;Желтый
Asus;Zenbook UX510UW-FI095T;"15.6""";8GB;256GB;Windows;Черный
Mediacom;SmartBook Edge;"13.3""";4GB;32GB;Windows;Серый
Asus;ROG Strix;"15.6""";8GB;128GB;Windows;Серебристый
Dell;Latitude 5580;"15.6""";8GB;256GB;Windows;Серый
Dell;Inspiron 5570;"15.6""";8GB;256GB;Windows;Серебристый
HP;250 G6;"15.6""";4GB;256GB;Windows;Голубой
HP;Omen 15-ce006nv;"17.3""";12GB;1TB;Windows;Голубой
Lenovo;Thinkpad E470;"14.0""";8GB;256GB;Windows;Синий
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Черный
Dell;Vostro 5468;"14.0""";4GB;128GB;Windows;Красный
HP;Envy 13-AB020nr;"13.3""";8GB;256GB;Windows;Серый
Acer;Aspire 7;"15.6""";8GB;1TB;Linux;Черный
Asus;VivoBook X540YA-XX519T;"15.6""";4GB;500GB;Windows;Белый
HP;ProBook 450;"15.6""";4GB;128GB;Windows;Синий
Lenovo;ThinkPad E470;"14.0""";4GB;500GB;Windows;Желтый
Lenovo;V310-15ISK (i5-6200U/4GB/1TB/FHD/No;"15.6""";4GB;1TB;No OS;Синий
HP;250 G6;"15.6""";4GB;500GB;Windows;Красный
Lenovo;ThinkPad T570;"15.6""";8GB;512GB;Windows;Синий
Lenovo;IdeaPad 320-15ISK;"15.6""";4GB;128GB;Windows;Серый
Dell;Latitude 5580;"15.6""";8GB;256GB;Windows;Серебристый
Dell;Alienware 17;"17.3""";16GB;256GB;Windows;Красный
HP;17-X047na (i3-6006U/8GB/1TB/W10);"17.3""";8GB;1TB;Windows;Белый
HP;ProBook 470;"17.3""";8GB;1TB;Windows;Черный
Asus;A541NA-GO342 (N3350/4GB/500GB/Linux);"15.6""";4GB;500GB;Linux;Голубой
Mediacom;SmartBook 130;"13.3""";4GB;32GB;Windows;Синий
Lenovo;IdeaPad 320-17IKB;"17.3""";6GB;128GB;Windows;Белый
HP;15-bw007nv (A10-9620P/6GB/128GB/Radeon;"15.6""";6GB;128GB;Windows;Серый
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Серый
Acer;Spin SP111-31;"11.6""";4GB;32GB;Windows;Серый
Lenovo;V330-15IKB (i3-7130U/4GB/128GB/FHD/W10);"15.6""";4GB;128GB;Windows;Красный
HP;EliteBook 1030;"13.3""";16GB;512GB;Windows;Белый
Lenovo;Thinkpad P71;"17.3""";8GB;256GB;Windows;Красный
Asus;FX553VD-DM627T (i5-7300HQ/8GB/1TB;"15.6""";8GB;128GB;Windows;Черный
Dell;XPS 13;"13.3""";8GB;128GB;Windows;Белый
Dell;Latitude 5580;"15.6""";4GB;500GB;Windows;Серый
Fujitsu;Lifebook A557;"15.6""";8GB;1TB;Windows;Белый
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;500GB;Windows;Белый
Lenovo;ThinkPad L470;"14.0""";4GB;500GB;Windows;Синий
HP;ZBook 17;"17.3""";8GB;500GB;Windows;Голубой
HP;14-am079na (N3710/8GB/2TB/W10);"14.0""";8GB;2TB;Windows;Синий
HP;15-cd005nv (A9-9420/6GB/256GB/Radeon;"15.6""";6GB;256GB;Windows;Красный
Lenovo;Thinkpad E570;"15.6""";8GB;256GB;Windows;Голубой
Lenovo;V330-15IKB (i5-8250U/4GB/500GB/FHD/W10);"15.6""";4GB;500GB;Windows;Красный
Mediacom;SmartBook 141;"14.0""";4GB;32GB;Windows;Синий
Toshiba;Tecra X40-D-10H;"14.0""";16GB;512GB;Windows;Белый
Lenovo;IdeaPad Y910-17ISK;"17.3""";32GB;256GB;Windows;Синий
MSI;GT73VR Titan;"17.3""";16GB;512GB;Windows;Серебристый
Dell;Inspiron 3567;"15.6""";8GB;256GB;Linux;Красный
Mediacom;SmartBook Edge;"14.0""";4GB;32GB;Windows;Черный
Dell;Latitude 5580;"15.6""";8GB;500GB;Windows;Серый
HP;ProBook 430;"13.3""";4GB;128GB;Windows;Синий
Dell;Latitude 5580;"15.6""";16GB;256GB;Windows;Красный
Dell;Chromebook 11;"11.6""";4GB;16GB;Chrome OS;Серебристый
MSI;GT80S 6QE;"17.3""";16GB;128GB;Windows;Голубой
HP;Omen 17-AN010nv;"17.3""";16GB;256GB;Windows;Белый
Lenovo;Thinkpad T460s;"14.0""";12GB;256GB;Windows;Красный
Lenovo;Ideapad 320-15IKBR;"15.6""";12GB;1TB;Windows;Красный
Asus;ROG Strix;"17.3""";8GB;128GB;Windows;Серебристый
Asus;TP501UA-CJ131T (i5-7200U/8GB/1TB/W10);"15.6""";8GB;1TB;Windows;Желтый
Lenovo;IdeaPad 320-15ABR;"15.6""";12GB;512GB;Windows;Серебристый
Dell;Inspiron 3179;"11.6""";4GB;128GB;Windows;Черный
Samsung;Notebook Odyssey;"15.6""";16GB;128GB;Windows;Белый
Lenovo;V320-17ISK (i3-6006U/4GB/500GB/FHD/No;"17.3""";4GB;500GB;No OS;Серебристый
Lenovo;IdeaPad 110-15ISK;"15.6""";8GB;1TB;Windows;Красный
Lenovo;ThinkPad Yoga;"13.3""";8GB;512GB;Windows;Белый
Lenovo;Thinkpad T470p;"14.0""";8GB;256GB;Windows;Красный
Dell;Latitude 5289;"12.5""";8GB;256GB;Windows;Черный
Dell;Precision 3520;"15.6""";8GB;256GB;Windows;Серебристый
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Голубой
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Черный
Acer;Aspire 1;"14.0""";4GB;32GB;Windows;Красный
MSI;Laptop MSI;"17.3""";16GB;128GB;Windows;Голубой
Dell;Vostro 3568;"15.6""";4GB;1TB;Linux;Красный
MSI;GS63VR 7RF;"15.6""";16GB;256GB;Windows;Серебристый
Toshiba;Tecra Z50-C-144;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;IdeaPad 310-15IKB;"15.6""";6GB;1TB;Windows;Желтый
Lenovo;Yoga 720-15IKB;"15.6""";8GB;256GB;Windows;Серый
Acer;Swift SF114-31-P5HY;"14.0""";4GB;128GB;Windows;Голубой
Lenovo;Thinkpad P51;"15.6""";32GB;1TB;Windows;Серый
Dell;Inspiron 7559;"15.6""";16GB;1TB;Windows;Белый
Dell;Vostro 3568;"15.6""";4GB;1TB;Linux;Серебристый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Linux;Серебристый
Dell;Latitude 5580;"15.6""";4GB;500GB;Linux;Черный
Asus;FX753VD-GC007T (i7-7700HQ/8GB/1TB;"17.3""";8GB;128GB;Windows;Черный
Dell;Vostro 3568;"15.6""";4GB;128GB;Linux;Черный
HP;EliteBook 850;"15.6""";8GB;512GB;Windows;Серебристый
MSI;GT62VR 7RE;"15.6""";16GB;256GB;Windows;Синий
Acer;CB5-132T-C9KK (N3160/4GB/32GB/Chrome;"11.6""";4GB;32GB;Chrome OS;Черный
HP;ProBook 650;"14.0""";8GB;256GB;Windows;Красный
Lenovo;ThinkPad T470;"14.0""";8GB;256GB;Windows;Желтый
Dell;Inspiron 5570;"15.6""";4GB;1TB;Windows;Белый
Fujitsu;LifeBook A557;"15.6""";8GB;256GB;Windows;Серебристый
HP;EliteBook 850;"15.6""";4GB;500GB;Windows;Красный
Lenovo;IdeaPad 320-15IKB;"15.6""";8GB;1TB;Windows;Серый
Mediacom;SmartBook 140;"14.0""";2GB;32GB;Windows;Желтый
Lenovo;IdeaPad 320-15IKBN;"15.6""";4GB;128GB;No OS;Серебристый
Asus;Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10);"13.3""";6GB;1TB;Windows;Серебристый
Dell;XPS 15;"15.6""";8GB;256GB;Windows;Черный
Asus;ZenBook 3;"14.0""";16GB;512GB;Windows;Голубой
Dell;Inspiron 7567;"15.6""";16GB;256GB;Windows;Серебристый
Lenovo;V330-15IKB (i5-8250U/4GB/256GB/FHD/W10);"15.6""";4GB;256GB;Windows;Красный
Lenovo;Ideapad 320-15ISK;"15.6""";4GB;1TB;Windows;Черный
Asus;X541NA-GO414T (N3350/8GB/1TB/W10);"15.6""";8GB;1TB;Windows;Черный
Asus;VivoBook Pro;"15.6""";8GB;1TB;Windows;Синий
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Синий
Lenovo;IdeaPad 100S-14IBR;"14.0""";2GB;32GB;Windows;Белый
Lenovo;Thinkpad Yoga;"13.3""";8GB;256GB;Windows;Синий
Dell;XPS 15;"15.6""";16GB;1TB;Windows;Серебристый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Желтый
HP;17-AK091ND (A9-9420/8GB/1TB/W10);"17.0""";8GB;1TB;Windows;Голубой
Lenovo;ThinkPad X1;"14.0""";16GB;512GB;Windows;Белый
Asus;ROG GL553VE-FY022;"15.6""";8GB;1TB;No OS;Синий
Acer;Extensa EX2540;"15.6""";4GB;500GB;Windows;Синий
Lenovo;IdeaPad 100S-14IBR;"14.0""";4GB;32GB;Windows;Желтый
Acer;Swift 3;"14.0""";8GB;256GB;Windows;Белый
Razer;Blade Pro;"14.0""";16GB;256GB;Windows;Серый
Toshiba;Portege Z30-C-16J;"13.3""";8GB;256GB;Windows;Красный
Lenovo;Thinkpad X270;"12.5""";8GB;256GB;Windows;Черный
Asus;ROG G701VI;"17.3""";32GB;512GB;Windows;Серебристый
Acer;A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce;"15.6""";8GB;1TB;Linux;Красный
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Серый
MSI;GL62M 7REX;"15.6""";8GB;128GB;Windows;Голубой
HP;250 G6;"15.6""";4GB;500GB;No OS;Серебристый
Toshiba;Tecra A50-D-11M;"15.6""";8GB;500GB;Windows;Синий
Dell;Inspiron 5570;"15.6""";8GB;256GB;Windows;Голубой
Dell;Inspiron 5570;"15.6""";16GB;256GB;Windows;Черный
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;128GB;Windows;Серебристый
Dell;Alienware 17;"17.3""";32GB;512GB;Windows;Синий
Dell;Latitude E7470;"14.0""";8GB;256GB;Windows;Белый
Lenovo;Ideapad 320-15IAP;"15.6""";4GB;500GB;Windows;Серебристый
Lenovo;IdeaPad 320-15ISK;"15.6""";4GB;500GB;Windows;Белый
HP;15-ay047nv (i3-6006U/6GB/1TB/Radeon;"15.6""";6GB;1TB;Windows;Белый
MSI;GP72VR Leopard;"17.3""";8GB;128GB;Windows;Синий
Toshiba;Satellite Pro;"15.6""";4GB;128GB;Windows;Желтый
Dell;Latitude 3580;"15.6""";8GB;1TB;Windows;Серый
HP;15-bs012nv (i7-7500U/8GB/1TB/Radeon;"15.6""";8GB;1TB;Windows;Белый
Toshiba;Tecra Z50-D-10E;"15.6""";8GB;256GB;Windows;Желтый
Acer;Aspire 3;"15.6""";4GB;128GB;Linux;Серебристый
Microsoft;Surface Laptop;"13.5""";8GB;256GB;Windows;Красный
Lenovo;V310-15ISK (i5-7200U/8GB/1TB;"15.6""";8GB;128GB;Windows;Серый
Lenovo;Yoga 720-13IKB;"13.3""";8GB;256GB;Windows;Белый
Lenovo;IdeaPad 320-15AST;"15.6""";4GB;128GB;Windows;Серебристый
HP;Pavilion X360;"14.0""";4GB;128GB;Windows;Серебристый
MSI;GP62 7RDX;"15.6""";16GB;256GB;Windows;Серый
Asus;Zenbook 3;"14.0""";8GB;256GB;Windows;Желтый
HP;Chromebook X360;"11.6""";8GB;64GB;Chrome OS;Черный
LG;Gram 15Z975;"15.6""";8GB;512GB;Windows;Серебристый
Acer;Aspire VX5-591G;"15.6""";16GB;256GB;Windows;Красный
MSI;GV62M 7RD;"15.6""";8GB;256GB;Windows;Черный
Asus;L502NA-GO052T (N3350/4GB/128GB/W10);"15.6""";4GB;128GB;Windows;Синий
Dell;Alienware 15;"15.6""";16GB;128GB;Windows;Синий
HP;17-bs000nv I3;"17.3""";4GB;256GB;Windows;Серебристый
Lenovo;Yoga 730;"13.3""";8GB;512GB;Windows;Красный
Dell;Alienware 15;"15.6""";16GB;256GB;Windows;Белый
HP;250 G6;"15.6""";4GB;500GB;Windows;Красный
Dell;Inspiron 3567;"15.6""";4GB;1TB;Windows;Серебристый
HP;17-Y002nv (A10-9600P/6GB/2TB/Radeon;"17.3""";6GB;2TB;Windows;Белый
Lenovo;V110-15ISK (3855U/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Серебристый
Acer;Chromebook 14;"14.0""";4GB;32GB;Chrome OS;Серый
Lenovo;IdeaPad 520s-14IKB;"14.0""";4GB;256GB;Windows;Желтый
HP;ZBook 17;"17.3""";8GB;500GB;Windows;Голубой
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Серый
Toshiba;Satellite Pro;"13.3""";8GB;256GB;Windows;Голубой
Acer;TravelMate B117-M;"11.6""";4GB;32GB;Windows;Серебристый
Lenovo;Yoga 910-13IKB;"14.0""";16GB;512GB;Windows;Голубой
Asus;Chromebook Flip;"12.5""";4GB;64GB;Chrome OS;Серебристый
Toshiba;Portege Z30T-C-133;"13.3""";16GB;512GB;Windows;Красный
HP;15-bs011nv (i7-7500U/4GB/500GB/Radeon;"15.6""";4GB;500GB;Windows;Черный
Dell;Inspiron 5577;"15.6""";8GB;1TB;Windows;Серебристый
Lenovo;IdeaPad 320-15AST;"15.6""";4GB;256GB;Windows;Желтый
Lenovo;IdeaPad 320-15ABR;"15.6""";8GB;1TB;Windows;Красный
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Черный
Lenovo;V310-15ISK (i3-6006U/4GB/500GB/No;"15.6""";4GB;500GB;No OS;Белый
Dell;Vostro 5568;"15.6""";8GB;256GB;Windows;Черный
Acer;Spin 5;"13.3""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad P51s;"15.6""";16GB;512GB;Windows;Серый
Lenovo;Thinkpad T460p;"14.0""";8GB;256GB;Windows;Красный
HP;17-ak002nv (A10-9620P/6GB/2TB/Radeon;"17.3""";6GB;2TB;Windows;Серый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Белый
Dell;Latitude 5480;"14.0""";8GB;256GB;Linux;Желтый
Dell;Vostro 5568;"15.6""";8GB;1TB;Linux;Красный
Asus;VivoBook E403NA;"14.0""";4GB;32GB;Windows;Белый
Dell;Latitude 5580;"15.6""";16GB;512GB;Windows;Серебристый
Lenovo;Thinkpad E470;"14.0""";8GB;256GB;Windows;Красный
Dell;Latitude 5580;"15.6""";8GB;256GB;Windows;Черный
Lenovo;110-15ACL (A6-7310/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Серый
Mediacom;Smartbook 142;"14.0""";4GB;32GB;Windows;Белый
HP;ProBook 470;"17.3""";8GB;256GB;Windows;Черный
